product_id,product_title,merchant_id,category_label,product_code,number_of_views,merchant_rating,listing_date
5990,LG Gram 5 Ultra-Lightweight,702,Laptops,PRD005990,27919,3.3,2025-03-21
22108,Huawei Watch GT 11,182,Smartwatches,PRD022108,20375,3.8,2024-05-28
21070,TicWatch Pro 12,881,Smartwatches,PRD021070,27434,3.5,2024-09-11
28428,TCL 11 Inch QLED Android TV,574,TVs,PRD028428,21670,3.5,2025-03-03
23961,GoPro HERO7,744,Cameras,PRD023961,5866,3.7,2024-03-14
26226,Xiaomi Mi TV 7 Inch,738,TVs,PRD026226,23208,4.6,2024-05-19
29031,Hisense 8 Inch 4K UHD,359,TVs,PRD029031,30263,3.5,2025-12-16
24829,GoPro HERO7,355,Cameras,PRD024829,28414,5.0,2024-09-04
7354,Dell Inspiron 5 Intel Core i3,868,Laptops,PRD007354,3005,4.5,2024-03-23
33074,Anker Soundcore 8,511,Speakers,PRD033074,6590,3.4,2024-08-28
11917,Bose QuietComfort 3 Noise Cancelling,446,Headphones,PRD011917,14542,3.5,2025-06-11
15543,TCL TAB 8 WiFi,881,Tablets,PRD015543,32217,3.0,2025-12-11
2736,Google Pixel 3,294,Mobile Phones,PRD002736,283,3.0,2024-08-06
38500,Dell UltraSharp 15inch Monitor,575,Computer Accessories,PRD038500,39945,4.1,2024-02-28
17145,iPad A52 256GB WiFi,171,Tablets,PRD017145,38331,3.4,2024-08-02
1070,Google Pixel 4,936,Mobile Phones,PRD001070,30176,3.7,2025-05-12
38276,TP-Link Archer 6 WiFi Router,393,Computer Accessories,PRD038276,16690,4.0,2025-08-14
35967,Ultimate Ears BOOM 7,575,Speakers,PRD035967,49777,4.7,2024-07-30
3362,OnePlus A52 1TBGB,728,Mobile Phones,PRD003362,48339,3.0,2024-02-12
31618,Xbox One 11 Edition,141,Gaming Consoles,PRD031618,7648,4.2,2025-07-19
25775,Hisense 12 Inch 4K UHD,915,TVs,PRD025775,3748,3.6,2024-03-27
17870,Garmin Forerunner 10,480,Smartwatches,PRD017870,34130,4.2,2024-07-24
39717,Razer BlackWidow 6 Keyboard,568,Computer Accessories,PRD039717,9012,3.7,2024-12-20
22157,Apple Watch Series 15 GPS,271,Smartwatches,PRD022157,41008,3.3,2024-02-05
25380,GoPro HERO9,700,Cameras,PRD025380,1474,4.3,2024-07-03
7898,Acer Aspire 15 Intel Core i9,224,Laptops,PRD007898,34319,3.3,2024-06-27
20993,Huawei Watch GT 5,925,Smartwatches,PRD020993,9230,3.7,2025-04-23
12355,Audio-Technica ATH-M8,917,Headphones,PRD012355,38021,4.7,2024-05-15
35507,Bose SoundLink 7 Speaker,787,Speakers,PRD035507,49486,3.7,2024-11-15
37710,Belkin USB-C Hub 1,391,Computer Accessories,PRD037710,10372,4.8,2024-07-10
27632,Sharp AQUOS 3 Inch,260,TVs,PRD027632,12166,4.7,2025-05-29
28361,Samsung 12 Inch 4K Smart TV,108,TVs,PRD028361,9882,3.0,2025-12-26
26534,Sharp AQUOS 5 Inch,379,TVs,PRD026534,37188,3.5,2024-05-19
38403,Belkin USB-C Hub 10,839,Computer Accessories,PRD038403,32574,4.4,2025-10-16
13414,Samsung Galaxy Tab X20 128GB,842,Tablets,PRD013414,18389,3.1,2024-04-05
28536,Toshiba 3 Inch Smart TV,326,TVs,PRD028536,35796,4.4,2024-02-25
3290,Huawei P11 Pro,216,Mobile Phones,PRD003290,22788,4.4,2024-01-10
15412,Huawei MatePad 5 Pro,591,Tablets,PRD015412,34646,4.6,2025-06-05
18083,Huawei Watch GT 15,323,Smartwatches,PRD018083,12256,4.8,2025-09-10
15898,Microsoft Surface Go 13,226,Tablets,PRD015898,36887,3.2,2024-11-06
31743,Valve Steam Deck,142,Gaming Consoles,PRD031743,22526,4.6,2025-09-10
18631,Amazfit GTR 4 Pro,559,Smartwatches,PRD018631,45864,3.9,2025-10-17
30225,Retro Gaming Console 6,224,Gaming Consoles,PRD030225,40908,4.3,2024-02-23
6705,LG Gram 1 Ultra-Lightweight,740,Laptops,PRD006705,42989,3.9,2024-05-08
26412,Hisense 7 Inch 4K UHD,336,TVs,PRD026412,23959,4.9,2024-01-06
30502,Nintendo Switch 9,710,Gaming Consoles,PRD030502,29262,3.6,2025-01-27
28168,Xiaomi Mi TV 10 Inch,685,TVs,PRD028168,28752,3.2,2025-10-13
16253,TCL TAB 7 WiFi,532,Tablets,PRD016253,35324,5.0,2025-03-27
30512,Nintendo Switch 8,142,Gaming Consoles,PRD030512,45889,3.2,2025-10-28
7847,Acer Aspire 3 Intel Core i5,521,Laptops,PRD007847,35668,4.4,2025-12-31
17728,TicWatch Pro 9,362,Smartwatches,PRD017728,24082,4.4,2025-08-07
35665,Sony SRS-XB13 Wireless,907,Speakers,PRD035665,4357,3.3,2025-12-15
29507,Toshiba 7 Inch Smart TV,160,TVs,PRD029507,12101,4.4,2025-02-18
34527,Ultimate Ears BOOM 4,108,Speakers,PRD034527,15614,3.7,2024-10-18
31580,PlayStation 12 Console,478,Gaming Consoles,PRD031580,42698,4.3,2025-10-06
34137,JBL Flip 10 Bluetooth Speaker,315,Speakers,PRD034137,45676,3.9,2024-09-15
18179,TicWatch Pro 12,725,Smartwatches,PRD018179,6098,3.8,2025-09-03
7923,Razer Blade 14 Gaming,344,Laptops,PRD007923,15857,4.6,2025-10-12
19154,Fitbit Versa 4,197,Smartwatches,PRD019154,17276,3.3,2025-09-17
12466,Sony WH-2 Wireless Headphones,805,Headphones,PRD012466,20234,3.1,2025-12-02
29729,LG 4 Inch OLED TV,418,TVs,PRD029729,5719,4.0,2024-01-22
17592,Amazfit GTR 4 Pro,329,Smartwatches,PRD017592,29474,4.9,2024-05-27
13140,JBL Tune 5 Wireless,413,Headphones,PRD013140,20052,4.9,2024-11-27
24174,Nikon COOLPIX P15,621,Cameras,PRD024174,18274,4.9,2024-04-01
15655,TCL TAB 13 WiFi,328,Tablets,PRD015655,28500,4.1,2025-01-12
24755,GoPro HERO2,189,Cameras,PRD024755,36573,4.8,2025-06-30
35795,Sonos One (Gen 11),225,Speakers,PRD035795,45230,3.7,2024-08-17
14104,TCL TAB 5 WiFi,719,Tablets,PRD014104,9235,4.0,2025-06-04
6667,HP Pavilion 3 AMD Ryzen 9,825,Laptops,PRD006667,5893,3.7,2024-12-31
19441,Fitbit Versa 4,607,Smartwatches,PRD019441,29609,3.4,2025-04-09
19291,Amazfit GTR 1 Pro,346,Smartwatches,PRD019291,42409,4.4,2025-02-21
23445,Olympus OM-D E-M13,405,Cameras,PRD023445,20201,4.3,2024-10-24
8815,Dell Inspiron 3 Intel Core i7,522,Laptops,PRD008815,28909,4.6,2025-05-07
17739,Samsung Galaxy Watch1,978,Smartwatches,PRD017739,44503,4.3,2025-10-31
34376,Anker Soundcore 15,545,Speakers,PRD034376,10222,3.7,2025-12-03
2157,Motorola Moto G3,186,Mobile Phones,PRD002157,9002,4.3,2024-11-01
31758,Nintendo Switch 9,433,Gaming Consoles,PRD031758,46200,3.9,2025-11-21
30822,Nintendo Switch 5,353,Gaming Consoles,PRD030822,2596,3.7,2024-07-17
12743,Sennheiser HD 11 Over-Ear,907,Headphones,PRD012743,25815,3.0,2025-06-20
2179,Google Pixel 10,851,Mobile Phones,PRD002179,22624,3.1,2025-04-05
1217,Huawei P9 Pro,760,Mobile Phones,PRD001217,23516,3.1,2025-03-24
38507,Belkin USB-C Hub 9,404,Computer Accessories,PRD038507,34467,3.7,2024-02-20
32062,PlayStation 8 Slim,208,Gaming Consoles,PRD032062,46147,4.8,2025-12-30
34221,JBL Flip 8 Bluetooth Speaker,380,Speakers,PRD034221,917,3.9,2025-03-29
22228,Olympus OM-D E-M12,878,Cameras,PRD022228,16316,4.8,2025-06-11
17099,Microsoft Surface Go 1,610,Tablets,PRD017099,22186,3.9,2025-04-03
23769,Panasonic Lumix GH5,683,Cameras,PRD023769,38507,3.7,2024-02-29
6815,Razer Blade 12 Gaming,632,Laptops,PRD006815,1617,3.6,2024-08-07
16601,Amazon Fire HD 1 Tablet,368,Tablets,PRD016601,17573,4.6,2025-10-04
22320,Fujifilm X-T11 Camera,120,Cameras,PRD022320,2600,4.0,2025-08-26
34514,JBL Flip 13 Bluetooth Speaker,238,Speakers,PRD034514,20921,4.6,2025-03-20
14643,Xiaomi Pad 9,249,Tablets,PRD014643,11436,3.4,2024-04-10
32157,Nintendo Switch 9,470,Gaming Consoles,PRD032157,38351,4.7,2025-09-23
21458,TicWatch Pro 11,705,Smartwatches,PRD021458,19501,4.1,2025-06-13
35997,Marshall Emberton Speaker,137,Speakers,PRD035997,14757,3.1,2025-08-01
8762,Acer Aspire 9 Intel Core i9,764,Laptops,PRD008762,27711,4.8,2024-03-10
26740,Xiaomi Mi TV 12 Inch,416,TVs,PRD026740,34125,3.6,2024-03-15
2484,Samsung Galaxy A22 64GB,256,Mobile Phones,PRD002484,48426,4.4,2024-08-22
34498,Amazon Echo 7th Gen,458,Speakers,PRD034498,14823,3.6,2025-03-28
15198,Xiaomi Pad 13,784,Tablets,PRD015198,42437,3.9,2024-12-02
23482,Panasonic Lumix GH10,158,Cameras,PRD023482,3728,4.2,2025-05-26
23533,Nikon D4 DSLR,765,Cameras,PRD023533,117,4.7,2025-03-12
13481,iPad A12 32GB WiFi,326,Tablets,PRD013481,14358,3.9,2025-12-15
30908,Valve Steam Deck,694,Gaming Consoles,PRD030908,43819,4.3,2024-04-29
23267,Fujifilm X-T5 Camera,410,Cameras,PRD023267,3886,4.2,2025-06-08
31982,Retro Gaming Console 2,354,Gaming Consoles,PRD031982,28329,4.2,2024-05-21
33236,Amazon Echo 6th Gen,613,Speakers,PRD033236,34046,4.0,2025-11-07
8721,HP Pavilion 15 AMD Ryzen 9,646,Laptops,PRD008721,36772,3.2,2025-12-13
